carBrandId,carBrandName,carBrandUrl,carModelId,carModelName,carModelUrl,carVariantId,carVariantName,bodyType,price,priceRange,maleClick,femaleClick,totalClick
8yAr1wlIK4YyEn86Hbew,Nissan,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2FNissan.png?alt=media&token=76620bf4-c6dd-4785-9996-9697ec5a2b59,PbRohmP6uIOvdno4YBab,Almera,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FNissanAlmera.jpg?alt=media&token=ff5c2d31-b25c-4d23-8192-0292310e5146,O2JnGAm4dN7CWo3XwjVi,2020 1.0L VL,Sedan,"RM 79,906",0<80000,0,0,0
8yAr1wlIK4YyEn86Hbew,Nissan,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2FNissan.png?alt=media&token=76620bf4-c6dd-4785-9996-9697ec5a2b59,PbRohmP6uIOvdno4YBab,Almera,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FNissanAlmera.jpg?alt=media&token=ff5c2d31-b25c-4d23-8192-0292310e5146,WvXyu86mowsYzMJGkZrC,2020 1.0L VLP,Sedan,"RM 85,715",80001<100000,0,0,0
8yAr1wlIK4YyEn86Hbew,Nissan,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2FNissan.png?alt=media&token=76620bf4-c6dd-4785-9996-9697ec5a2b59,SPNf5gifeyes4bKWyaRD,Leaf,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FNissanLeaf.jpg?alt=media&token=f9b74c01-40fd-4d41-86a5-ed4046642230,2Sm645kIWhOlOEKUv4Kp,2019,Hatchback,"RM 181,263",150001<200000,0,0,0
8yAr1wlIK4YyEn86Hbew,Nissan,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2FNissan.png?alt=media&token=76620bf4-c6dd-4785-9996-9697ec5a2b59,eZp4JFqN7zs2zZzgsX7a,Navara,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FNissanNavara.jpg?alt=media&token=217ae4a7-8c78-471c-a305-ab9cc54d46da,2umwyfDypsRyFhQkSojG,2021 2.5L SE Auto,Pickup,"RM 116,900",100001<150000,0,0,0
8yAr1wlIK4YyEn86Hbew,Nissan,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2FNissan.png?alt=media&token=76620bf4-c6dd-4785-9996-9697ec5a2b59,eZp4JFqN7zs2zZzgsX7a,Navara,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FNissanNavara.jpg?alt=media&token=217ae4a7-8c78-471c-a305-ab9cc54d46da,pQzwGZILb9GH2oVCdbh3,2021 2.5L SE Manual,Pickup," RM 110,900",100001<150000,0,0,0
GMbjrOnRyid5ZftCmEPs,Hyundai,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fhyundai.png?alt=media&token=a669ac3b-19cc-4f90-ba46-8426307beaba,HpKR7wzF0LE9aMRYIvQQ,Kona,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FHyundaiKona.jpg?alt=media&token=1ac9be56-fd06-4e76-a04c-606bcb9f50ce,4czv44MRXVtcIwnqOtGD,2021 1.6 N Line,SUV," RM 156,888",150001<200000,0,0,0
GMbjrOnRyid5ZftCmEPs,Hyundai,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fhyundai.png?alt=media&token=a669ac3b-19cc-4f90-ba46-8426307beaba,HpKR7wzF0LE9aMRYIvQQ,Kona,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FHyundaiKona.jpg?alt=media&token=1ac9be56-fd06-4e76-a04c-606bcb9f50ce,w70ArON3JI07cYj2GHJf,2021 1.6 Turbo,SUV,"RM 146,888",100001<150000,0,0,0
GMbjrOnRyid5ZftCmEPs,Hyundai,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fhyundai.png?alt=media&token=a669ac3b-19cc-4f90-ba46-8426307beaba,MLAeHEADv8PoPzS4z9ly,Sonata,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FHyundaiSonata.jpg?alt=media&token=f48432f8-c2a5-44f3-8459-60163fb4987d,cLUeOTSuYKwy1sP1CVog,2020 2.5 Premium,Sedan," RM 189,888",150001<200000,0,0,0
GMbjrOnRyid5ZftCmEPs,Hyundai,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fhyundai.png?alt=media&token=a669ac3b-19cc-4f90-ba46-8426307beaba,fwrBxWJJra7JRnYvTTpH,Santa Fe,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FHyundaiSantaFe.jpg?alt=media&token=3bef3dd2-42cd-4b62-b249-3e16c651711a,5yLQekTzPxn2f0t6U8La,2019 2.2D Executive,SUV," RM 188,218",150001<200000,0,0,0
GMbjrOnRyid5ZftCmEPs,Hyundai,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fhyundai.png?alt=media&token=a669ac3b-19cc-4f90-ba46-8426307beaba,fwrBxWJJra7JRnYvTTpH,Santa Fe,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FHyundaiSantaFe.jpg?alt=media&token=3bef3dd2-42cd-4b62-b249-3e16c651711a,XUvdpVyLkt1Jr4n1gioC,2019 2.2D Premium,SUV," RM 207,638",200001<250000,0,0,0
